竹山道雄,1903-7-17,1984-6-15
竹西寛子,1929-4-11,
竹本健治,1954-9-17,
中井英夫,1922-9-17,1993-12-10
中薗英助,2002-4-9,
中河与一,1897-2-28,1994-12-12
中原昌也,1970-6-4,
中山義秀,1900-10-5,1969-8-19
中山千夏,1948-7-13,
中上健次,1946-8-2,1992-8-12
中村うさぎ,1958-2-27,
中村彰彦,1949-6-23,
中村真一郎,1918-3-5,1997-12-25
中村文則,1977-9-2,
中沢けい,1959-10-6,
中津文彦,1941-12-23,
中島みゆき,1952-2-23,
中島らも,1952-4-3,2004-7-26
中島敦,1909-5-5,1942-12-4
中嶋博行,1955-9-12,
中野孝次,1925-1-1,2004-7-16
中野重治,1902-1-25,1979-8-24
中野武彦,2004-9-5,
中里恒子,1909-12-23,1987-4-5
町田康,1962-1-15,
長井彬,1924-11-18,2002-5-25
長谷川時雨,1879-10-1,1941-8-22
長嶋有,1972-9-30,
長部日出雄,1934-9-3,
長野まゆみ,1959-8-13,
鳥羽亮,1946-8-31,
鳥越碧,1944-5-17,
直木三十五,1891-2-12,1934-2-24
陳舜臣,1924-2-18,
津村秀介,1933-12-7,2000-9-28
津島佑子,1947-3-30,
津本陽,1929-3-23,
椎名誠,1944-6-14,
柘植久慶,1942-6-21,
辻原登,1945-12-15,
辻真先,1932-3-23,
辻仁成,1959-10-4,
辻邦生,1925-9-24,1999-7-29
坪内逍遥,1859-6-22,
典厩五郎,1939-9-16,
天城一,1919-1-11,2007-11-9
天藤真,1915-8-8,1983-1-25
天童荒太,1960-5-8,
田久保英夫,1928-1-25,2001-4-14
田宮虎彦,1911-8-5,1988-4-9
田口ランディ,1959-10-3,
田山花袋,1872-1-22,
田村俊子,1884-4-25,1945-4-16
田村泰次郎,1911-11-30,1983-11-2
田中英光,1913-1-10,1949-11-3
田中雅美,1979-1-5,
田中啓文,1962-11-9,
田中光二,1941-2-14,
田中哲弥,1963-1-27,
田辺聖子,1928-3-27,
都筑道夫,1929-7-6,2003-11-27
土屋隆夫,1917-1-25,
島村洋子,1996-XX-XX,
島村利正,1912-3-25,1981-11-25
島田一男,1907-4-13,1996-6-16
島田雅彦,1961-3-13,
島田荘司,1948-10-12,
島尾敏雄,1917-4-18,1986-11-12
島本理生,1983-5-18,
島木健作,1903-9-7,1945-8-17
東郷隆,1951-12-16,
東野圭吾,1958-2-4,
筒井康隆,1934-9-24,
藤原伊織,1948-2-17,2007-5-17
藤枝静男,1907-12-20,1993-4-16
藤水名子,1964-6-29,
藤川桂介,1934-6-16,
藤沢周,1959-1-10,
